Transaction,Category
PETROCAN-2100 BURNHAMTHOR,TRANSPORTATION
TOMO SUSHI MISSISSAUGA,FOOD
TOMO SUSHI MISSISSAUGA,FOOD
PIZZA PIZZA # 266 MISSISSAUGA,FOOD
BAR BURRITO MISSISSAUGA,FOOD
FREEDOM MOBILE 877-946-3184,CELL PHONE
PETROCAN-4140ERINMILLS PK,TRANSPORTATION
TIM HORTONS #1431 OAKVILLE,FOOD
TOMO SUSHI MISSISSAUGA,FOOD
TIM HORTONS #6010 TORONTO,FOOD
NEW WOK NEW WOK TORONTO,FOOD
TOMO SUSHI MISSISSAUGA,FOOD
COBS BREAD # 9321 MISSISSAUGA,FOOD
PETROCAN-2100 BURNHAMTHOR,TRANSPORTATION
SYSTEM76 Y7Q45 SYSTEM76.COM,OFFICE
BAR BURRITO MISSISSAUGA,FOOD
TOMO SUSHI MISSISSAUGA,FOOD
TIM HORTONS #2037 MISSISSAUGA,FOOD
COBS BREAD # 9321 MISSISSAUGA,FOOD
FREEDOM MOBILE 877-946-3184,CELL PHONE
BELL CANADA (OB) MONTREAL,INTERNET
TIM HORTONS #2037 MISSISSAUGA,FOOD
TIM HORTONS #2037 MISSISSAUGA,FOOD
TIM HORTONS #2037 MISSISSAUGA,FOOD
PETRO CANADA05618 MISSISSAUGA,TRANSPORTATION
TIM HORTONS #2037 MISSISSAUGA,FOOD
TIM HORTONS #5795 TORONTO,FOOD
FREEDOM MOBILE 877-946-3184,CELL PHONE
Subway 33041 Mississauga,FOOD
MIFUEL #878 MISSISSAUGA,TRANSPORTATION
TIM HORTONS #2037 MISSISSAUGA,FOOD
BELL CANADA (OB) MONTREAL,INTERNET
RETAIL INTEREST,OFFICE
BAR BURRITO MISSISSAUGA,FOOD
PFAFF BMW MISSISSAUGA,TRANSPORTATION
FREEDOM MOBILE 877-946-3184,CELL PHONE
BELL CANADA (OB) MONTREAL,INTERNET
AMZN Mktp CA*AN5XM39E3,EDUCATION
TOMO SUSHI MISSISSAUGA,FOOD
TOMO SUSHI MISSISSAUGA,FOOD
PETROCAN-4140ERINMILLS PK,TRANSPORTATION
BELL CANADA (OB) MONTREAL,INTERNET
TOMO SUSHI MISSISSAUGA,FOOD
FREEDOM MOBILE 877-946-3184,CELL PHONE
GLEN ERIN ESSO MISSISSAUGA,TRANSPORTATION
TOMO SUSHI MISSISSAUGA,FOOD
BELL CANADA (OB) MONTREAL,INTERNET
TOMO SUSHI MISSISSAUGA,FOOD
PETROCAN-4140ERINMILLS PK,TRANSPORTATION
COBS BREAD # 9321 MISSISSAUGA,FOOD
TOMO SUSHI MISSISSAUGA,FOOD
TIM HORTONS #2037 MISSISSAUGA,FOOD
FREEDOM MOBILE 877-946-3184,CELL PHONE
TOMO SUSHI MISSISSAUGA,FOOD
PETRO CANADA00453 MISSISSAUGA,TRANSPORTATION
CASH ADVANCE FEE,BANK FEE
CASH INTEREST,BANK FEE
BELL CANADA (OB) MONTREAL,INTERNET
MOBIL@ - 4372 MISSISSAUGA,CELL PHONE
TOMO SUSHI MISSISSAUGA,FOOD
TOMO SUSHI MISSISSAUGA,
FREEDOM MOBILE 877-946-3184,CELL PHONE
BELL CANADA (OB) MONTREAL,INTERNET
TOMO SUSHI MISSISSAUGA,FOOD
BELL CANADA (OB) MONTREAL,INTERNET
PETROCAN-3990 EGLINTON AV,TRANSPORTATION
TOMO SUSHI MISSISSAUGA,FOOD
BELL CANADA (OB) MONTREAL,INTERNET
TOMO SUSHI MISSISSAUGA,FOOD
SITEPOINT WWW.SITEPOIN,EDUCATION
APPLE.COM/CA 800-676-2775,OFFICE
PETROCAN-1405 SOUTHDOWN R,TRANSPORTATION
CODE WITH MOSH TEACHABLE.CO,EDUCATION
PFAFF BMW MISSISSAUGA,TRANSPORTATION
FREEDOM MOBILE 877-946-3184,CELL PHONE
BELL CANADA (OB) MONTREAL,INTERNET
MANULIFE         MSP,Life Insurance
MANULIFE         MSP,Life Insurance
MANULIFE         MSP,Life Insurance
FREEDOM MOBILE 877-946-3184,CELL PHONE
SHELL C20130 MISSISSAUGA,TRANSPORTATION
PETRO CANADA00475 MISSISSAUGA,TRANSPORTATION
FREEDOM MOBILE 877-946-3184,CELL PHONE
PETRO CANADA00475 MISSISSAUGA,TRANSPORTATION
TIM HORTONS #2037 MISSISSAUGA,FOOD
TIM HORTONS #1431 OAKVILLE,FOOD
SUNOCO 0442552600 CANANDAIGUA,TRANSPORTATION
FREEDOM MOBILE 877-946-3184,CELL PHONE
TOMO SUSHI MISSISSAUGA,FOOD
EXXON SUN FARMINGTON,TRANSPORTATION
BELL CANADA (OB) MONTREAL,INTERNET
CASH INTEREST,BANK FEE
ANNUAL FEE,BANK FEE
ENERSOURCE   L6Y9Q2 ,Utility
ENBRIDGE GAS H6Z9A7 ,Utility
SUBARU FINANCE               ,Rent/Lease             
SUBARU FINANCE               ,Rent/Lease
MANULIFE         MSP,Life Insurance

